# KaDai format — G2 inverse PR
# RA(h)=6.16666667 Dec(d)=20.50000000
# Columns: DOY  RA(mas)  dRA  Dec(mas)  dDec  SPOT_ID
   74.0000    -7.653500   0.020000     5.647900   0.020000    1
  152.0000    -7.734200   0.020000     5.786600   0.020000    1
  232.0000    -7.412200   0.020000     5.962500   0.020000    1
  314.0000    -7.826100   0.020000     5.985100   0.020000    1
   25.0000    -8.755000   0.020000     6.166700   0.020000    1
  105.0000    -9.252600   0.020000     6.357900   0.020000    1
   74.0000    -7.658500   0.006000     5.609800   0.006000    2
  152.0000    -7.670800   0.006000     5.747900   0.006000    2
  232.0000    -7.410500   0.006000     5.970900   0.006000    2
  314.0000    -7.850000   0.006000     5.995300   0.006000    2
   25.0000    -8.711800   0.006000     6.134200   0.006000    2
  105.0000    -9.253600   0.006000     6.357900   0.006000    2
   74.0000    -7.571400   0.040500     5.625900   0.040500    3
  152.0000    -7.637800   0.040000     5.666000   0.040000    3
  232.0000    -7.447000   0.040000     5.975700   0.040000    3
  314.0000    -7.794600   0.040000     6.029600   0.040000    3
   25.0000    -8.755200   0.040000     6.064100   0.040000    3
  105.0000    -9.238400   0.040000     6.348300   0.040000    3
