# csad output (synthetic — normal PR)
# Beam: 1.80 x 0.80 mas, PA = -20.0 deg
# Channel spacing: 0.420 km/s
# N_stations: 4
#         vlsr             x         x_err             y         y_err             I         I_err             S         S_err          bmaj      bmaj_err          bmin      bmin_err            pa        pa_err           rms
      -50.4200       -3.5550        0.0600       -5.6468        0.0600        0.4942        0.0500        0.4656        0.0500        1.8343        0.0360        0.7947        0.0160      -22.9416        2.0000        0.0500
      -50.0000       -3.5193        0.0150       -5.5566        0.0150        2.0437        0.0500        2.0104        0.0500        1.7466        0.0360        0.7488        0.0160      -19.4646        2.0000        0.0500
      -49.5800       -3.5639        0.0375       -5.6090        0.0375        0.8160        0.0500        0.8039        0.0500        1.7914        0.0360        0.7751        0.0160      -23.3494        2.0000        0.0500
      -42.6300       -7.6747        0.0200        5.6392        0.0200        1.5010        0.0500        1.5072        0.0500        1.8341        0.0360        0.7650        0.0160      -20.6393        2.0000        0.0500
      -42.2100       -7.6879        0.0060        5.6250        0.0060        4.9870        0.0500        5.0242        0.0500        1.7091        0.0360        0.7920        0.0160      -19.6745        2.0000        0.0500
      -41.7900       -7.6548        0.0086        5.6439        0.0086        3.4931        0.0500        3.5214        0.0500        1.7897        0.0360        0.7694        0.0160      -22.2666        2.0000        0.0500
      -41.3700       -7.7149        0.0400        5.6756        0.0400        0.7436        0.0500        0.7540        0.0500        1.8338        0.0360        0.7926        0.0160      -19.0864        2.0000        0.0500
      -35.8400        5.6068        0.0200        2.4818        0.0200        1.4707        0.0500        1.4674        0.0500        1.8069        0.0360        0.7924        0.0160      -20.0336        2.0000        0.0500
      -35.4200        5.5842        0.0067        2.4766        0.0067        4.5169        0.0500        4.5117        0.0500        1.7536        0.0360        0.8089        0.0160      -21.9178        2.0000        0.0500
      -35.0000        5.6176        0.0030        2.4594        0.0030       10.0183        0.0500        9.9961        0.0500        1.7769        0.0360        0.7915        0.0160      -18.9354        2.0000        0.0500
      -35.0000        4.9127        0.1000        6.0051        0.1000        1.5942        0.0500        1.6755        0.0500        3.3085        0.0900        0.4259        0.0400      -27.4894        5.0000        0.0500
      -35.0000        7.9726        0.1000        3.0234        0.1000        1.4685        0.0500        1.2474        0.0500        3.3855        0.0900        0.5940        0.0400      -33.5439        5.0000        0.0500
      -34.5800        5.6104        0.0050        2.4922        0.0050        5.9939        0.0500        5.9872        0.0500        1.7561        0.0360        0.8148        0.0160      -17.7421        2.0000        0.0500
      -34.1600        5.5603        0.0300        2.4321        0.0300        1.0111        0.0500        1.0136        0.0500        1.7641        0.0360        0.8056        0.0160      -19.7666        2.0000        0.0500
      -28.8400        2.7163        0.1000      -11.0903        0.1000        0.3073        0.0500        0.2883        0.0500        1.8007        0.0360        0.8115        0.0160      -19.1069        2.0000        0.0500
      -28.4200        2.7560        0.0200      -10.9738        0.0200        1.4747        0.0500        1.4638        0.0500        1.7286        0.0360        0.7761        0.0160      -19.2005        2.0000        0.0500
      -28.0000        2.7403        0.0100      -10.9856        0.0100        3.0111        0.0500        2.9767        0.0500        1.7889        0.0360        0.7772        0.0160      -20.6781        2.0000        0.0500
      -27.5800        2.7977        0.0125      -11.0455        0.0125        2.3911        0.0500        2.3638        0.0500        1.8039        0.0360        0.7873        0.0160      -19.5346        2.0000        0.0500
      -27.1600        2.7438        0.0500      -10.9258        0.0500        0.6027        0.0500        0.6055        0.0500        1.8734        0.0360        0.8200        0.0160      -19.2863        2.0000        0.0500
