# csad output (synthetic — inverse PR)
# Beam: 1.80 x 0.80 mas, PA = -20.0 deg
# Channel spacing: 0.420 km/s
# N_stations: 4
#         vlsr             x         x_err             y         y_err             I         I_err             S         S_err          bmaj      bmaj_err          bmin      bmin_err            pa        pa_err           rms
      -50.4200       -9.0285        0.0600       -8.0797        0.0600        0.5007        0.0500        0.5384        0.0500        1.8057        0.0360        0.7887        0.0160      -17.7412        2.0000        0.0500
      -50.0000       -9.0668        0.0150       -8.0494        0.0150        2.0039        0.0500        1.9983        0.0500        1.8846        0.0360        0.7659        0.0160      -21.0829        2.0000        0.0500
      -49.5800       -9.0548        0.0375       -8.0058        0.0375        0.8213        0.0500        0.8168        0.0500        1.7308        0.0360        0.7653        0.0160      -21.0750        2.0000        0.0500
      -42.6300      -13.1905        0.0200        3.1089        0.0200        1.4834        0.0500        1.5046        0.0500        1.7608        0.0360        0.8288        0.0160      -19.9242        2.0000        0.0500
      -42.2100      -13.1271        0.0060        3.0702        0.0060        5.0044        0.0500        5.0552        0.0500        1.7229        0.0360        0.8051        0.0160      -17.5056        2.0000        0.0500
      -41.7900      -13.1405        0.0086        3.0836        0.0086        3.4949        0.0500        3.4834        0.0500        1.8569        0.0360        0.8075        0.0160      -14.9671        2.0000        0.0500
      -41.3700      -13.0941        0.0400        2.9883        0.0400        0.7459        0.0500        0.7535        0.0500        1.7411        0.0360        0.7879        0.0160      -21.3477        2.0000        0.0500
      -35.8400       -0.0477        0.0200       -0.0189        0.0200        1.5090        0.0500        1.4513        0.0500        1.9246        0.0360        0.8288        0.0160      -22.4184        2.0000        0.0500
      -35.4200        0.0086        0.0067        0.0110        0.0067        4.4951        0.0500        4.4981        0.0500        1.8267        0.0360        0.8103        0.0160      -19.4170        2.0000        0.0500
      -35.0000        0.0117        0.0030        0.0245        0.0030        9.9884        0.0500       10.0362        0.0500        1.8838        0.0360        0.8131        0.0160      -20.5642        2.0000        0.0500
      -35.0000       -3.8213        0.1000        1.8949        0.1000        1.6340        0.0500        1.6808        0.0500        3.3813        0.0900        0.5164        0.0400      -19.5324        5.0000        0.0500
      -35.0000       -3.1480        0.1000        0.9143        0.1000        1.0420        0.0500        1.3274        0.0500        2.8522        0.0900        0.4509        0.0400      -14.6172        5.0000        0.0500
      -34.5800        0.0289        0.0050        0.0308        0.0050        5.9790        0.0500        5.9885        0.0500        1.8017        0.0360        0.8413        0.0160      -24.2330        2.0000        0.0500
      -34.1600       -0.0014        0.0300        0.0665        0.0300        0.9851        0.0500        0.9968        0.0500        1.7750        0.0360        0.8314        0.0160      -20.2756        2.0000        0.0500
      -28.8400       -2.9119        0.1000      -13.0922        0.1000        0.3081        0.0500        0.3108        0.0500        1.8593        0.0360        0.8447        0.0160      -17.2035        2.0000        0.0500
      -28.4200       -2.9018        0.0200      -13.2356        0.0200        1.4979        0.0500        1.5018        0.0500        1.7521        0.0360        0.7912        0.0160      -22.3328        2.0000        0.0500
      -28.0000       -2.8725        0.0100      -13.2755        0.0100        3.0016        0.0500        2.9828        0.0500        1.8203        0.0360        0.7850        0.0160      -18.9801        2.0000        0.0500
      -27.5800       -2.9074        0.0125      -13.2614        0.0125        2.4038        0.0500        2.3607        0.0500        1.8748        0.0360        0.7891        0.0160      -15.8466        2.0000        0.0500
      -27.1600       -2.8913        0.0500      -13.2425        0.0500        0.6069        0.0500        0.6108        0.0500        1.8453        0.0360        0.8029        0.0160      -17.7099        2.0000        0.0500
